Week,Promotion1,Promotion2,Promotion3,Promotion4,Promotion5,Promotion6,Promotion7,Price1,Price2,Price3,Price4,Price5,Price6,Price7
1,0,0,0,0,0,0,0,0.913804552,0.88455229,1.778123292,0.891331181,1.579051359,3.401774739,0.813336508
2,0,0,0,0,0,0,0,0.753282772,0.75,1.774949062,0.888934895,1.575336182,3.399962436,0.811435411
3,0,0,0,0,0,0,0,0.753156874,0.88301501,1.772640104,0.777794206,1.57400055,3.397683585,0.810367311
4,0,0,0,0.229854529,1,0,1,0.918930104,0.75,1.774979869,0.777612526,1.437509137,3.397284042,0.686467557
5,1,0,0,0,1,0,0,0.69,0.883008022,1.766870037,0.888277166,1.43422161,3.389411314,0.811198095
6,0,0,0,1,0,0,0,0.920426157,0.889399195,1.771995481,0.757304058,1.437661843,3.397876985,0.816245365
7,0,0,0,0.230890763,0,0,0,0.919857211,0.887852121,1.771916795,0.757195701,1.572762665,3.395601032,0.804226714
8,0,0,0,1,0,0,0,0.75,0.890519114,1.771604537,0.75725359,1.572683182,3.396162292,0.807991807
9,0,0,0,0,0,0,0,0.917023859,0.887810569,1.770944661,0.891700598,1.571772594,3.392756273,0.803745061
10,0,0,0,0.227666952,0,0,1,0.914852944,0.884012434,1.774430242,0.860702758,1.574347701,3.397409789,0.741393867
11,0,0,0,0,0,0,0.670145099,0.778599386,0.886075077,1.773005755,0.862782913,1.572622197,3.398244899,0.743532434
12,0,1,0,0.230678172,0,0,1,0.913714835,0.68654293,1.769101993,0.861491854,1.413595704,3.392728318,0.743253939
13,0,0,0,0.231798386,1,0,1,0.839178164,0.883546059,1.771667963,0.860634122,1.414110199,3.397878106,0.742406139
14,0.790825684,0,0,0,0,0,0.351814984,0.838769334,0.883700897,1.771756108,0.860949567,1.414221882,3.39787073,0.741877064
15,0.209362123,0,0,0,0,0,0,0.842239556,0.888723467,1.771826146,0.864420268,1.572851388,3.39871077,0.803942235
16,0.767195867,0,0,0.226122875,0,0,0,0.842419692,0.887245517,1.769166528,0.864682289,1.570445166,3.393809292,0.8044957
17,0,0,0,0.258784112,0,0,0,0.75,0.882358539,1.767139718,0.854252364,1.568950689,3.389101482,0.799470672
18,0,0,0,0,0,0,1,0.91145382,0.881106229,1.77037199,0.886636553,1.571764599,3.394043549,0.49
19,0,0.69496744,0,0,0,0,0,0.915560448,0.780374511,1.769341189,0.69,1.570319147,3.395200938,0.801767552
20,0,0.695472091,0,0,0,0,0,0.916919462,0.780012349,1.771180791,0.69,1.572241015,3.395181655,0.731927746
21,0,0.694379506,0,0.770686633,0,0,0.647139789,0.907625596,0.779715128,1.77047817,0.69,1.501391942,3.393055128,0.727934341
22,0,0,0,0,0,0,1,0.913716335,0.887054125,1.771966967,0.771600476,1.502666653,3.396367294,0.730479435
23,0,0,0,0,0,0,1,0.90972986,0.883736202,1.770699734,0.888777948,1.501438002,3.394359588,0.729040521
24,0,0,0,0,1,0,0.343941261,0.906251844,0.777144708,1.768109334,0.88633588,1.39,3.391485865,0.728656333
25,0,0,1,0,1,1,0,0.59,0.885744525,1.59,0.890993257,1.39,3.273007713,0.730067388
26,0.215105583,0,0.775340514,0.771135656,1,1,0,0.59,0.883411084,1.59,0.59,1.39,3.271194373,0.729161023
27,0.208680754,0,0.775920939,1,1,0,1,0.69,0.887822817,1.59,0.59,1.370879054,3.394509198,0.731028986
28,0,0,0.774088466,0,1,0,1,0.69,0.885324325,1.611358766,0.892567998,1.370401975,3.392345757,0.685577667
29,0,1,0,0,1,0,0,0.908831588,0.665454178,1.611397124,0.895773176,1.371013234,3.394070042,0.685699631
30,0.225238278,0.303511008,1,0,1,0,0,0.778599861,0.666666667,1.611099376,0.89199276,1.369914241,3.391463057,0.801069901
31,1,0.696430632,1,0.230716568,1,0,0,0.778869623,0.666666667,1.611453654,0.779172286,1.370731274,3.19,0.806040692
